Curve CH4
0 0
50 0
100 0
150 0
200 0
250 0
300 0
350 0
400 0
450 0
500 0
550 1
600 1
650 1
700 1
750 1
800 1
850 1
900 1
950 1
1000 2
1050 2
1100 2
1150 2
1200 2
1250 3
1300 3
1350 3
1400 3
1450 3
1500 3
1550 3
1600 3
1650 3
1700 3
1750 3
1800 3
1850 3
1900 2
1950 3
2000 3
2050 3
2100 3
2150 3
2200 3
2250 3
2300 3
2350 3
2400 3
2450 3
2500 3
2550 3
2600 3
2650 3
2700 3
2750 3
2800 3
2850 3
2900 3
2950 3
3000 3
3050 3
3100 3
3150 3
3200 3
3250 3
3300 3
3350 3
3400 3
3450 4
3500 4
3550 4
3600 4
3650 4
3700 4
3750 4
3800 5
3850 5
3900 5
3950 5
4000 5
4050 5
4100 5
4150 5
4200 5
4250 5
4300 5
4350 5
4400 5
4450 5
4500 5
4550 5
4600 5
4650 5
4700 5
4750 5
4800 5
4850 5
4900 5
4950 5
5000 5
5050 5
5100 5
5150 5
5200 5
5250 5
5300 5
5350 5
5400 5
5450 5
5500 5
5550 5
5600 5
5650 5
5700 5
5750 5
5800 5
5850 5
5900 5
5950 5
6000 5
6050 5
6100 5
6150 5
6200 5
6250 5
6300 5
6350 5
6400 5
6450 5
6500 5
6550 5
6600 5
6650 5
6700 5
6750 5
6800 5
6850 5
6900 5
6950 5
7000 5
7050 5
7100 5
7150 5
7200 5
7250 5
7300 5
7350 5
7400 5
7450 5
7500 5
7550 5
7600 5
7650 5
7700 5
7750 5
7800 5
7850 5
7900 5
7950 5
8000 5
8050 5
8100 5
8150 5
8200 5
8250 5
8300 5
8350 5
8400 5
8450 5
8500 5
8550 5
8600 5
8650 5
8700 5
8750 6
8800 6
8850 6
8900 6
8950 6
9000 6
9050 6
9100 6
9150 6
9200 6
9250 6
9300 6
9350 6
9400 6
9450 6
9500 6
9550 6
9600 6
9650 6
9700 6
9750 6
9800 6
9850 6
9900 6
9950 6
10000 6
10050 6
10100 6
10150 6
10200 6
10250 6
10300 6
10350 6
10400 6
10450 6
10500 6
10550 6
10600 6
10650 6
10700 6
10750 6
10800 6
10850 6
10900 6
10950 6
11000 6
11050 6
11100 6
11150 6
11200 6
11250 6
11300 6
11350 6
11400 6
11450 6
11500 6
11550 6
11600 6
11650 6
11700 6
11750 6
11800 6
11850 6
11900 6
11950 6
12000 6
12050 6
12100 6
12150 6
12200 6
12250 6
12300 6
12350 6
12400 6
12450 6
12500 6
12550 6
12600 6
12650 6
12700 6
12750 6
12800 6
12850 6
12900 6
12950 6
13000 6
13050 6
13100 6
13150 6
13200 6
13250 6
13300 6
13350 6
13400 6
13450 6
13500 6
13550 6
13600 6
13650 6
13700 6
13750 6
13800 6
13850 6
13900 6
13950 6
14000 6
14050 6
14100 6
14150 6
14200 6
14250 6
14300 6
14350 6
14400 6
14450 6
14500 6
14550 6
14600 6
14650 6
14700 6
14750 6
14800 6
14850 6
14900 6
14950 6
15000 6
15050 6
15100 6
15150 6
15200 6
15250 6
15300 6
15350 6
15400 6
15450 6
15500 7
15550 7
15600 7
15650 7
15700 7
15750 7
15800 7
15850 7
15900 7
15950 7
16000 7
16050 7
16100 7
16150 7
16200 7
16250 7
16300 7
16350 7
16400 7
16450 7
16500 7
16550 7
16600 7
16650 7
16700 7
16750 7
16800 7
16850 7
16900 7
16950 7
17000 6
17050 7
17100 7
17150 7
17200 7
17250 7
17300 7
17350 7
17400 7
17450 7
17500 7
17550 7
17600 7
17650 7
17700 7
17750 7
17800 7
17850 7
17900 7
17950 7
18000 7
18050 7
18100 7
18150 7
18200 7
18250 7
18300 7
18350 7
18400 7
18450 7
18500 7
18550 7
18600 7
18650 7
18700 7
18750 7
18800 7
18850 7
18900 7
18950 7
19000 7
19050 7
19100 7
19150 7
19200 7
19250 7
19300 7
19350 7
19400 7
19450 6
19500 7
19550 7
19600 7
19650 7
19700 7
19750 7
19800 7
19850 7
19900 7
19950 7
20000 7
20050 7
20100 7
20150 7
20200 7
20250 7
20300 7
20350 7
20400 7
20450 7
20500 7
20550 7
20600 7
20650 7
20700 7
20750 7
20800 7
20850 7
20900 7
20950 7
21000 7
21050 7
21100 7
21150 7
21200 7
21250 7
21300 7
21350 7
21400 7
21450 7
21500 7
21550 7
21600 7
21650 7
21700 7
21750 7
21800 7
21850 7
21900 7
21950 7
22000 7
22050 7
22100 7
22150 7
22200 7
22250 7
22300 7
22350 7
22400 7
22450 7
22500 7
22550 7
22600 7
22650 7
22700 7
22750 7
22800 7
22850 7
22900 7
22950 7
23000 7
23050 7
23100 6
23150 7
23200 7
23250 7
23300 7
23350 7
23400 7
23450 7
23500 7
23550 7
23600 7
23650 7
23700 7
23750 7
23800 7
23850 7
23900 7
23950 7
24000 7
24050 7
24100 7
24150 7
24200 7
24250 7
24300 7
24350 7
24400 7
24450 7
24500 7
24550 7
24600 7
24650 7
24700 7
24750 7
24800 7
24850 7
24900 7
24950 7
25000 7
25050 7
25100 7
25150 7
25200 7
25250 7
25300 7
25350 7
25400 7
25450 7
25500 7
25550 7
25600 7
25650 7
25700 7
25750 7
25800 7
25850 7
25900 7
25950 7
26000 7
26050 7
26100 7
26150 7
26200 7
26250 7
26300 7
26350 7
26400 7
26450 7
26500 7
26550 7
26600 7
26650 7
26700 7
26750 7
26800 7
26850 7
26900 7
26950 7
27000 7
27050 7
27100 7
27150 7
27200 7
27250 7
27300 7
27350 7
27400 7
27450 7
27500 7
27550 7
27600 7
27650 7
27700 7
27750 7
27800 7
27850 7
27900 7
27950 7
28000 7
28050 7
28100 7
28150 7
28200 7
28250 7
28300 7
28350 7
28400 7
28450 7
28500 7
28550 7
28600 7
28650 7
28700 7
28750 7
28800 7
28850 7
28900 7
28950 7
29000 7
29050 7
29100 7
29150 7
29200 7
29250 7
29300 7
29350 7
29400 7
29450 7
29500 7
29550 7
29600 7
29650 8
29700 8
29750 8
29800 8
29850 8
29900 8
29950 8
30000 8
30050 8
30100 8
30150 8
30200 8
30250 8
30300 8
30350 8
30400 8
30450 8
30500 8
30550 8
30600 8
30650 8
30700 8
30750 8
30800 8
30850 8
30900 8
30950 8
31000 8
31050 8
31100 8
31150 8
31200 8
31250 8
31300 8
31350 8
31400 8
31450 8
31500 8
31550 8
31600 8
31650 8
31700 8
31750 8
31800 8
31850 8
31900 8
31950 8
32000 8
32050 8
32100 8
32150 8
32200 8
32250 8
32300 8
32350 8
32400 8
32450 8
32500 8
32550 8
32600 8
32650 8
32700 8
32750 8
32800 8
32850 8
32900 8
32950 8
33000 8
33050 8
33100 8
33150 8
33200 8
33250 8
33300 8
33350 8
33400 8
33450 8
33500 8
33550 8
33600 8
33650 8
33700 8
33750 8
33800 8
33850 9
33900 8
33950 8
34000 8
34050 8
34100 8
34150 8
34200 8
34250 8
34300 8
34350 8
34400 8
34450 8
34500 8
34550 8
34600 8
34650 8
34700 8
34750 8
34800 8
34850 8
34900 8
34950 8
35000 8
35050 8
35100 8
35150 8
35200 8
35250 8
35300 8
35350 8
35400 8
35450 8
35500 8
35550 8
35600 8
35650 8
35700 8
35750 8
35800 8
35850 8
35900 8
35950 8
36000 8
36050 8
36100 8
36150 8
36200 8
36250 8
36300 8
36350 8
36400 8
36450 8
36500 8
36550 8
36600 8
36650 8
36700 8
36750 8
36800 8
36850 8
36900 8
36950 8
37000 8
37050 8
37100 8
37150 8
37200 8
37250 8
37300 8
37350 8
37400 8
37450 8
37500 8
37550 8
37600 8
37650 8
37700 8
37750 9
37800 9
37850 9
37900 9
37950 10
38000 10
38050 10
38100 10
38150 10
