#EXPORTTYPE:DATA ALL
#FILE:DQ2V(10K).ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:1
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:调试
#DATE/TIME:23.08.2018 17:19
#CORR. FILE:基线Ar（1200,10K).ngb-bs3
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:SENSZERO.EXX
#LABORATORY:煤及煤系气重点实验室
#OPERATOR:wangchg
#REMARK:
#SAMPLE:DQ2V
#SAMPLE MASS /mg:10
#MATERIAL:煤样
#REFERENCE:空坩埚
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#DSC RANGE /μV:5000
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:40°C/10.0(K/min)/1000°C
#SEGMENT:S1/1
#SEG. 1:40°C/10.0(K/min)/1000°C

##Temp./°C;Time/min;DSC/(uV/mg);Mass/%;Sensit./(uV/mW)
 37.46600; 0.00000;4.882814e-003;100.00000;1.00000
 37.47632; 0.04802;4.515756e-003; 99.99524;1.00000
 37.46603; 0.09604;4.121470e-003; 99.99105;1.00000
 37.47687; 0.14406;4.663322e-003; 99.98903;1.00000
 37.47339; 0.19208;4.224450e-003; 99.98900;1.00000
 37.47902; 0.24010;4.421214e-003; 99.98900;1.00000
 37.47672; 0.28811;4.692332e-003; 99.98794;1.00000
 37.48237; 0.33613;4.704948e-003; 99.98637;1.00000
 37.49985; 0.38415;4.860859e-003; 99.98463;1.00000
 37.49938; 0.43217;6.062070e-003; 99.98301;1.00000
 37.50327; 0.48019;5.878933e-003; 99.97999;1.00000
 37.51164; 0.52821;5.625878e-003; 99.98068;1.00000
 37.52237; 0.57623;6.502618e-003; 99.98595;1.00000
 37.54028; 0.62425;7.753182e-003; 99.98492;1.00000
 37.56567; 0.67227;7.554101e-003; 99.98782;1.00000
 37.59217; 0.72029;9.237908e-003; 99.98702;1.00000
 37.63221; 0.76830;9.223150e-003; 99.99287;1.00000
 37.64869; 0.81632;1.028167e-002; 99.99306;1.00000
 37.70664; 0.86434;1.199453e-002; 99.99952;1.00000
 37.75119; 0.91236;1.240727e-002;100.00165;1.00000
 37.79268; 0.96038;1.442081e-002;100.00203;1.00000
 37.84010; 1.00840;1.541404e-002;100.00331;1.00000
 37.90070; 1.05642;1.622273e-002;100.01042;1.00000
 37.99479; 1.10444;1.962767e-002;100.00423;1.00000
 38.05912; 1.15246;2.181466e-002;100.01724;1.00000
 38.13515; 1.20048;2.305603e-002;100.01300;1.00000
 38.21904; 1.24849;2.505763e-002;100.01281;1.00000
 38.30953; 1.29651;2.769259e-002;100.00452;1.00000
 38.40816; 1.34453;3.000594e-002;100.01241;1.00000
 38.51532; 1.39255;3.215146e-002;100.01784;1.00000
 38.63608; 1.44057;3.416336e-002;100.00529;1.00000
 38.75838; 1.48859;3.711700e-002;100.01167;1.00000
 38.89246; 1.53661;3.948575e-002;100.01108;1.00000
 39.03170; 1.58463;4.222060e-002;100.00580;1.00000
 39.16881; 1.63265;4.563759e-002;100.01577;1.00000
 39.32841; 1.68067;4.803640e-002; 99.99898;1.00000
