#EXPORTTYPE:DATA SINGLE
#FILE:TL2V(20K)Ar.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:005
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:TG
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:调试
#DATE/TIME:14.09.2018 12:19
#CORR. FILE:Baseline-1200Ar.ngb-bs3
#TEMPCAL:TCALZERO.TCX
#SENSITIVITY:---
#LABORATORY:煤及煤系气重点实验室
#OPERATOR:wangchg
#REMARK:
#SAMPLE:TL2V(20K)Ar
#SAMPLE MASS /mg:132.5973
#MATERIAL:煤样
#REFERENCE:
#REFERENCE MASS /mg:
#TYPE OF CRUCIBLE:Plate
#SAMPLE CRUCIBLE MASS /mg:0.0
#REFERENCE CRUCIBLE MASS /mg:
#TG RANGE /mg:35000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:45°C/20.0(K/min)/1200°C
#SEGMENT:S1/1
#SEG. 1:45°C/20.0(K/min)/1200°C

##Temp./°C;Time/min;Mass/%
  39.62600; 0.00000;100.00000
  40.18470; 1.00147;100.00186
  40.74340; 1.23543;100.00346
  41.30210; 1.40011;100.00379
  41.86080; 1.53659;100.00384
  42.41950; 1.65434;100.00367
  42.97820; 1.76104;100.00364
  43.53690; 1.85668;100.00197
  44.09560; 1.94567;100.00012
  44.65430; 2.02939; 99.99884
  45.21300; 2.10793; 99.99779
  45.77170; 2.18277; 99.99714
  46.33040; 2.25436; 99.99698
  46.88910; 2.32296; 99.99606
  47.44780; 2.38945; 99.99514
  48.00650; 2.45369; 99.99536
  48.56520; 2.51613; 99.99457
  49.12390; 2.57659; 99.99369
  49.68260; 2.63552; 99.99327
  50.24130; 2.69252; 99.99311
  50.80000; 2.74795; 99.99133
  51.35870; 2.80270; 99.99112
  51.91740; 2.85651; 99.99038
  52.47610; 2.90906; 99.98984
  53.03480; 2.96060; 99.98868
  53.59350; 3.01138; 99.98764
  54.15220; 3.06122; 99.98633
  54.71090; 3.11024; 99.98574
  55.26960; 3.15835; 99.98451
  55.82830; 3.20596; 99.98354
  56.38700; 3.25306; 99.98196
  56.94570; 3.29953; 99.98022
  57.50440; 3.34536; 99.98068
  58.06310; 3.39045; 99.97826
  58.62180; 3.43524; 99.97699
  59.18049; 3.47935; 99.97629
  59.73919; 3.52298; 99.97480
  60.29789; 3.56633; 99.97406
  60.85659; 3.60915; 99.97287
  61.41529; 3.65148; 99.97159
  61.97399; 3.69329; 99.96980
  62.53269; 3.73471; 99.96916
  63.09139; 3.77584; 99.96833
  63.65009; 3.81685; 99.96785
  64.20879; 3.85743; 99.96735
  64.76749; 3.89759; 99.96607
  65.32619; 3.93761; 99.96489
  65.88489; 3.97722; 99.96319
  66.44359; 4.01637; 99.96236
  67.00229; 4.05525; 99.96116
  67.56099; 4.09417; 99.95936
